symbol,em-code,market,name
PHIO,105.PHIO,US,Phio Pharmaceuticals Corp
GDEVW,105.GDEVW,US,GDEV Inc Wt
SLRX,105.SLRX,US,Salarius Pharmaceuticals Inc
VRMEW,105.VRMEW,US,VerifyMe Inc Wt
KAPA,107.KAPA,US,Kairos Pharma Ltd
KDLYW,105.KDLYW,US,Kindly MD Inc Wt
MSPRZ,105.MSPRZ,US,MSP Recovery Inc Wt
DATSW,105.DATSW,US,DatChat Inc Wt-A
VRME,105.VRME,US,VerifyMe Inc
AZTR,107.AZTR,US,Azitra Inc
ATPC,105.ATPC,US,Agape ATP Corp
DRMAW,105.DRMAW,US,Dermata Therapeutics Inc Wt
GDSTW,105.GDSTW,US,Goldenstone Acquisition Ltd Wt
LCFYW,105.LCFYW,US,Locafy Ltd Wt
ADNWW,105.ADNWW,US,Advent Technologies Holdings In
FAASW,105.FAASW,US,DigiAsia Corp Wt
EVGRW,105.EVGRW,US,Evergreen Corp Wt
PTIXW,105.PTIXW,US,Protagenic Therapeutics Inc Wt
AVGR,105.AVGR,US,Avinger Inc
EDBLW,105.EDBLW,US,Edible Garden AG Inc Wt
STIM,105.STIM,US,Neuronetics Inc
BSLKW,105.BSLKW,US,Bolt Projects Holdings Inc Wt
RHE_A,107.RHE_A,US,Regional Health Properties Inc 
VSEEW,105.VSEEW,US,VSee Health Inc Wt
SAGE,105.SAGE,US,Sage Therapeutics Inc
BNAIW,105.BNAIW,US,Brand Engagement Network Inc Wt
ITCI,105.ITCI,US,Intra-Cellular Therapies Inc
TCBPW,105.TCBPW,US,TC BioPharm (Holdings) plc Wt
LANV_WS,106.LANV_WS,US,复朗集团(权证)
WAVSW,105.WAVSW,US,Western Acquisition Ventures Co
PBMWW,105.PBMWW,US,Psyence Biomedical Ltd Wt
DJTWW,105.DJTWW,US,Trump Media & Technology Group 
RFACW,105.RFACW,US,RF Acquisition Corp Wt
NE_WS_A,106.NE_WS_A,US,Noble Corp plc Wt
IVDAW,105.IVDAW,US,Iveda Solutions Inc Wt
HOFV,105.HOFV,US,Hall of Fame Resort & Entertain
GCTK,105.GCTK,US,GlucoTrack Inc
CDTTW,105.CDTTW,US,Conduit Pharmaceuticals Inc Wt
NIVFW,105.NIVFW,US,NewGenIvf Group Ltd Wt
ONCO,105.ONCO,US,Onconetix Inc
VSEE,105.VSEE,US,VSee Health Inc
LAB,105.LAB,US,Standard BioTools Inc
ROLR,107.ROLR,US,High Roller Technologies Inc
BDMD,105.BDMD,US,Baird Medical Investment Holdin
BDMDW,105.BDMDW,US,Baird Medical Investment Holdin
NIOBW,105.NIOBW,US,NioCorp Developments Ltd Wt
IROHR,105.IROHR,US,Iron Horse Acquisitions Corp Rt
