symbol,market,name,em_code,em_id
NMHIW,US,Nature’s Miracle Holding Inc W,105.NMHIW,105
HEES,US,HE设备服务,105.HEES,105
NXLIW,US,Nexalin Technology Inc Wt,105.NXLIW,105
RGTIW,US,Rigetti Computing Inc Wt,105.RGTIW,105
AIFF,US,Firefly Neuroscience Inc,105.AIFF,105
QBTS_WS,US,D-Wave Quantum Inc Wt,106.QBTS_WS,106
RFACR,US,RF Acquisition Corp Rt,105.RFACR,105
CCIRW,US,Cohen Circle Acquisition Corp I,105.CCIRW,105
HUBCZ,US,HUB Cyber Security Ltd Wt,105.HUBCZ,105
ERNA,US,Eterna Therapeutics Inc,105.ERNA,105
RGTI,US,Rigetti Computing Inc,105.RGTI,105
WLDSW,US,Wearable Devices Ltd Wt,105.WLDSW,105
TDUP,US,ThredUp Inc-A,105.TDUP,105
GWH_WS,US,ESS Tech Inc Wt,106.GWH_WS,106
ALUR_WS,US,Allurion Technologies Inc Wt,106.ALUR_WS,106
SNAXW,US,Stryve Foods Inc Wt,105.SNAXW,105
NLSPW,US,NLS Pharmaceutics Ltd Wt,105.NLSPW,105
IROHW,US,Iron Horse Acquisitions Corp Wt,105.IROHW,105
CYN,US,Cyngn Inc,105.CYN,105
LDTCW,US,LeddarTech Holdings Inc Wt,105.LDTCW,105
NMHI,US,Nature’s Miracle Holding Inc,105.NMHI,105
JSPRW,US,Jasper Therapeutics Inc Wt,105.JSPRW,105
LTRYW,US,Lottery.com Inc Wt,105.LTRYW,105
SANW,US,S&W Seed Co,105.SANW,105
STFS,US,星际时尚,105.STFS,105
DFLIW,US,Dragonfly Energy Holdings Corp ,105.DFLIW,105
NCRA,US,Nocera Inc,105.NCRA,105
AMBP_WS,US,Ardagh Metal Packaging SA Wt,106.AMBP_WS,106
LANV_WS,US,复朗集团(权证),106.LANV_WS,106
AMODW,US,Alpha Modus Holdings Inc Wt,105.AMODW,105
TOVX,US,Theriva Biologics Inc,107.TOVX,107
BRACR,US,Broad Capital Acquisition Corp ,105.BRACR,105
LGCB,US,Linkage Global Inc-A,105.LGCB,105
PGYWW,US,Pagaya Technologies Ltd Wt,105.PGYWW,105
SST_WS,US,System1 Inc Wt,106.SST_WS,106
BZAIW,US,Blaize Inc Wt,105.BZAIW,105
PDYN,US,Palladyne AI Corp,105.PDYN,105
WIMI,US,微美全息,105.WIMI,105
STEM,US,Stem Inc-A,106.STEM,106
BARK_WS,US,Bark Inc Wt,106.BARK_WS,106
QBTS,US,D-Wave Quantum Inc,106.QBTS,106
OPFI_WS,US,OppFi Inc Wt,106.OPFI_WS,106
IINNW,US,Inspira Technologies Oxy B.H.N.,105.IINNW,105
RELI,US,Reliance Global Group Inc,105.RELI,105
RR,US,Richtech Robotics Inc-B,105.RR,105
STAF,US,Staffing 360 Solutions Inc,105.STAF,105
PIIIW,US,P3 Health Partners Inc Wt,105.PIIIW,105
BEDU,US,博实乐,106.BEDU,106
AIMD,US,Ainos Inc,105.AIMD,105
ANGH,US,Anghami Inc,105.ANGH,105
SVMHW,US,SRIVARU Holding Ltd Wt,105.SVMHW,105
BKHAR,US,Black Hawk Acquisition Corp Rt,105.BKHAR,105
CMTL,US,康姆泰克通讯,105.CMTL,105
AENTW,US,Alliance Entertainment Holding ,105.AENTW,105
ILLRW,US,Triller Group Inc Wt,105.ILLRW,105
GRRRW,US,大猩猩科技(权证),105.GRRRW,105
WVVI,US,Willamette Valley Vineyards Inc,105.WVVI,105
TOI,US,The Oncology Institute Inc,105.TOI,105
ESHAR,US,ESH Acquisition Corp Rt,105.ESHAR,105
PET,US,Wag! Group Co,105.PET,105
QSIAW,US,Quantum-Si Inc Wt,105.QSIAW,105
ABLVW,US,Able View Global Inc Wt,105.ABLVW,105
ADNWW,US,Advent Technologies Holdings In,105.ADNWW,105
ROLR,US,High Roller Technologies Inc,107.ROLR,107
ZENA,US,ZenaTech Inc,105.ZENA,105
BUJAW,US,Bukit Jalil Global Acquisition ,105.BUJAW,105
ZSPC,US,zSpace Inc,105.ZSPC,105
MOBXW,US,Mobix Labs Inc Wt,105.MOBXW,105
VGASW,US,Verde Clean Fuels Inc Wt,105.VGASW,105
MTNB,US,Matinas BioPharma Holdings Inc,107.MTNB,107
BRAG,US,Bragg Gaming Group Inc,105.BRAG,105
IBG,US,Innovation Beverage Group Ltd,105.IBG,105
SIMAW,US,SIM Acquisition Corp I Wt,105.SIMAW,105
WLGS,US,宏利营造,105.WLGS,105
CTM,US,Castellum Inc,107.CTM,107
TAVIR,US,Tavia Acquisition Corp Rt,105.TAVIR,105
DRTSW,US,Alpha Tau Medical Ltd Wt,105.DRTSW,105
FARO,US,法如科技,105.FARO,105
GDSTW,US,Goldenstone Acquisition Ltd Wt,105.GDSTW,105
YYAI,US,Connexa Sports Technologies Inc,105.YYAI,105
OPTT,US,Ocean Power Technologies Inc,107.OPTT,107
BRTX,US,BioRestorative Therapies Inc,105.BRTX,105
NKGNW,US,NKGen Biotech Inc Wt,105.NKGNW,105
BROG,US,Brooge Energy Ltd,105.BROG,105
SPCB,US,SuperCom Ltd,105.SPCB,105
CREV,US,Carbon Revolution PLC,105.CREV,105
ABLV,US,Able View Global Inc-B,105.ABLV,105
SOGP,US,Sound Group Inc ADR,105.SOGP,105
ACMR,US,ACM Research Inc-A,105.ACMR,105
HTCO,US,Caravelle International Group,105.HTCO,105
FLYE,US,Fly-E Group Inc,105.FLYE,105
ORIC,US,Oric Pharmaceuticals Inc,105.ORIC,105
ASST,US,Asset Entities Inc-B,105.ASST,105
LSEAW,US,Landsea Homes Corp Wt,105.LSEAW,105
VIVK,US,Vivakor Inc,105.VIVK,105
EQS,US,Equus Total Return Inc,106.EQS,106
